flower_ID,flower_name,flower_color,scientific_name,flower_family
1,hollyhock,pink,Alcea rosea,Malvaceae
2,coreopsis,yellow,Coreopsis sp.,Asteraceae
3,calendula,yellow,Calendula officinalis,Asteraceae
4,geranium,red,Pelargonium sp.,Geraniaceae
5,star jasmine,white,Trachelospermum jasminoides,Apocynaceae
6,larkspur,purple,Delphinium sp.,Ranunculaceae
7,California poppy,orange,Eschscholzia californica,Papaveraceae
8,nasturtium,orange,Tropaeolum majus,Tropaeolaceae
9,Shasta daisy,white,Leucanthemum sp.,Asteraceae
10,sweet pea vine,pink,Lathyrus odoratus,Fabaceae
11,rudbeckia,yellow,Rudbeckia sp.,Asteraceae
12,radish,pink,Raphanus sativus,Brassicaceae
13,carrot,white,Daucus carota,Apiaceae
14,blanket flower,red,Gaillardia sp.,Asteraceae
15,sunflower,yellow,Helianthus annus,Asteraceae
16,garden candytuft,pink,Iberis umbellata,Brassicaceae
17,chamomile,white,Matricaria chamomilla,Asteraceae
18,Indian mustard,yellow,Brassica juncea,Brassicaceae
19,Asiatic lily,maroon,Lilium sp.,Liliaceae
20,pea,white,Pisum sativum,Fabaceae
21,cilantro,white,Coriandrum sativum,Apiaceae
22,yarrow,white,Achillea millefolium,Asteraceae
23,cornflower,blue,Centaurea cyanus,Asteraceae
24,sweet pea shrub,magenta,Polygala myrtifolia,Polygalaceae
25,lavender,purple,Lavandula sp.,Lamiaceae
26,lettuce,yellow,Lactuca sativa,Asteraceae
27,globe artichoke,purple,Cynara cardunculus,Asteraceae
28,kalanchoe,magenta,Kalanchoe sp.,Crassulaceae
29,bulbine,orange,Bulbine frutescens,Asphodelaceae
30,wild strawberry,pink,Fragaria sp.,Rosaceae
31,Bougainvillea,magenta,Bougainvillea sp.,Nyctaginaceae
32,Chinese Privet,white,Ligustrum sinense,Oleaceae
